name|line
Rintaro|On the first floor is a store of ill repute called the Braun Tube Workshop. You can’t miss it.
Rintaro|It deals exclusively in CRT monitors, of all things. Can you imagine? Even in the heart of Akihabara’s Electric Town, the demand for CRTs is practically nonexistent.
Rintaro|But the proprietor of the Braun Tube Workshop, Tennouji, is also the owner of the building.
Rintaro|That’s how he can afford to maintain his ridiculously niche hobby shop even as land value continues to rise.
Rintaro|He may seem a rough sort, but he was no match for my charisma. Now the entire second floor is mine for next to nothing. Muhahaha!
Rintaro|I digress. The Future Gadget Laboratory is currently experiencing a severe shortage of manpower. We welcome dedicated scientists from all fields to apply. At present, our researchers are--
Mayuri|Okarin, Okarin. You’ve gotta say ’lab mems’, not researchers.
Rintaro|...Our lab mems -- laboratory members -- are three!
Rintaro|I am the founder of the Future Gadget Lab, Lab Mem Number 001, the insane mad scientist, Hououin Kyouma!
Mayuri|’Okarin’ is cuter, though...
Rintaro|Next, we have our resident cosplayer and only female member, Lab Mem Number 002, Shiina Mayuri.
Mayuri|Tutturu♪ Call me Mayushii! I like making costumes more than wearing them.
Rintaro|And last, we have our resident super hacka, Lab Mem Number 003, Hashida Itaru.
Itaru|Stop calling me that! It’s super hacker, duh.
Rintaro|Here at the Future Gadget Laboratory, we devote ourselves to the art of invention!
Rintaro|For details, see our lab’s homepage.
Rintaro|Our top priority, of course, is to develop weapons for the war with the Dark Dominion, but that research has spawned a number of offshoot inventions. In fact, that’s all it’s spawned.
Rintaro|Our arsenal of Future Gadgets is up to eight, but this is just the beginning. I have a total of 108 inventions to create!
Itaru|Like in that tennis manga, right? I get it.
Rintaro|No! It’s the number of earthly desires in mortals, you @channel junkie.
Rintaro|And I thought I told you not interrupt me when I’m talking!
Itaru|Yeah, wouldn’t want to interrupt you talking to yourself.
Rintaro|I’m not talking to myself. Can’t you see? I’m talking to the person behind the monitor.
Mayuri|Ah, he just grinned!
Rintaro|What are you grinning about, damn you!? You don’t even exist outside that monitor!
Itaru|Just say ’don’t look at me’.
Mayuri|I don’t think that’s gonna work...
Rintaro|It appears our attempts to communicate have failed. It’s sad to see someone so deeply in denial of reality.
Mayuri|Maybe they think we’re in the game?
Itaru|I doubt it’s even occurred to them.
Mayuri|But aren’t your 2D girlfriends the same way?
Itaru|That’s different. Those girls are my wives.
Rintaro|Nobody cares about your harem.
Itaru|But Mayushii touched upon a very interesting theme, ya know? What if we’re actually just characters in a game? Any way we can know for sure?
Rintaro|No.
Itaru|Come on!
Rintaro|Such questions are meaningless. Our time is better spent thinking of ways to destroy the System.
Itaru|Nice chuunibyou, bro.
Rintaro|Shut it, hacka. I’m no chuunibyou patient.
Rintaro|I am Hououin... Kyouma!
Itaru|That’s your character’s name, right?
Rintaro|Oh Daru... your communication skills are beyond repair.
Itaru|I’ll have you know I go to a ton of offline meets, and I’m always the life of the party.
Mayuri|Ow... the needle bit my finger...
Mayuri|Mayushii is Okarin’s hostage! I belong here!
Itaru|So, did Alpacaman say anything?
Rintaro|Nope. Nothing.
Rintaro|Damn antisocial alpaca!
Rintaro|Hm?
Mayuri|You made Mr.Alpaca angry!
Rintaro|Damn. I’ll have to get it repaired later.
Rintaro|They’re gone...
Mayuri|What’s wrong?
Rintaro|E-everyone disappeared just now, right!?
Mayuri|Huh?
Rintaro|You saw it too, right!? Just now, before our very eyes!
Rintaro|Did you see it, Mayuri!? You saw it, right!?
Mayuri|Hmmm? Huhhhhh?
Mayuri|IIIII diiiiidn’t seeeee anythiiiiing!
Rintaro|You... didn’t?
Rintaro|You saw nothing? Nothing at all!? There were people here a second ago, weren’t there!?
Mayuri|...There were?
Rintaro|Even the store employees are gone! That’s impossible by any measure!
Mayuri|Of course they are...
Mayuri|It was like this when we got here. Oh, I know! You’re seeing things, aren’t you?
Mayuri|I’m sure it’s ’cause of the heat! Tutturu♪
Rintaro|...What the hell is that satellite doing there?
Rintaro|Mayuri, about that satellite...
Mayuri|Yup. What a surprise, huh?
Rintaro|What do you mean? What was a surprise?
Mayuri|It made a huge ’kaplow’ sound!
Rintaro|Did that satellite fall out of the sky?
Mayuri|Did it? Do you think any aliens were on board?
Rintaro|...
Policeman|Hey! You two!
Policeman|What do you think you’re doing here? This area is off-limits. You have to leave.
Mayuri|We’re sorry!
Rintaro|First, my good man -- let’s call you ’Officer A’ -- I have one question!
Officer A|Officer A...?
Rintaro|Thousands of people just vanished! You saw it too, didn’t you!?
Officer A|What are you talking about? Get out of here!
Officer A|Look, I don’t have time for your nonsense.
Rintaro|I see... so that’s it!
Rintaro|This is all an elaborate coverup by the Organization! Their influence has corrupted local law enforcement, which means our entire government may already be under their control. My god!
Rintaro|But they underestimated me, for I am not so easily played. One day, I will expose their deeds and put an end to their reign!
Rintaro|Ah, elixir intellectualis, a drink fit for a genius!
Itaru|Cola’s better.
Mayuri|Okarin really loves his Dr P!
Rintaro|I pity the man who knows not the greatness of this beverage! Muhahaha!
Rintaro|Daru. Is the plan progressing smoothly?
Itaru|Uh, what plan?
Rintaro|The plan, as in the plan. Obviously, I’m talking about perfecting Gadget No. 8.
Itaru|Oh, that. How was I supposed to know what you meant?
Rintaro|We’ve known each other for what, three years now?
Itaru|We were in different classes junior year, and actually we didn’t talk at all. So two years?
Rintaro|Details. The point is we’ve known each other a long time. I expect you to keep up with me here.
Itaru|N O P E
Rintaro|...
Rintaro|So, are we any closer to figuring out what’s wrong with Gadget No. 8?
Itaru|Not yet.
Itaru|We tried copying what Mayu-shi did, but we just can’t reproduce the freezing phenomenon.
Itaru|And when we tried to freeze a banana, it turned out really weird.
Itaru|I just don’t get it.
Rintaro|Mayuri! Mayuri! Bring forth the bananas!
Mayuri|Are you gonna turn them into gelbanas again?
Itaru|That’s been bugging me, Mayu-shi. Can you stop calling them ’gelbanas’?
Mayuri|But gelbanas are gelbanas.
Mayuri|Why do you have to use the whole bunch? It’s a waste of food.
Rintaro|Your stinginess could cost us the battle with the Organization!
Mayuri|That’s fine with me. Mayushii always buys the bananas, and now Mayushii can’t eat a single one.
Rintaro|Next time, we’ll only do one banana.
Guidance|Hello. This is the PhoneWave (name subject to change).
Mayuri|Do you hear Mayushii’s voice?
Rintaro|Be quiet. I’m trying to listen.
Guidance|You can operate the timer from this menu.
Guidance|After pushing the # button, please enter the heating time in seconds.
Guidance|For example, press ’#60’ for one minute.
Guidance|For two minutes, press ’#120’.
Itaru|Won’t this just warm it normally?
Itaru|Nice turntable, right? It’s even spinning backwards.
Rintaro|Backwards!?
Rintaro|That might have serious implications! If we look at quantum critical behavior driven by Hund’s rule--
Itaru|Yeah! No.
Rintaro|...not Hund’s Rule?
Itaru|No.
Rintaro|...okay.
Mayuri|Gelbanas are ready!
Rintaro|Daru. You wouldn’t mind eating one of these, would you? Of course you wouldn’t. It’s for science! Your sacrifice will forever be remembered!
Itaru|...They look really nasty.
Rintaro|The taste doesn’t matter. What matters is that you eat it! So come on, Daru, no need to be shy. Break a leg, or a stomach, and go for it!
Itaru|No way.
Rintaro|...Fine. Mayuri! The honor shall be yours.
Mayuri|But gelbanas are all gloopy, droopy, soft, and squishy.
Mayuri|It had no flavor and wasn’t tasty at all...
Rintaro|Gloopy, droopy, soft and squishy... Daru, what do you think?
Itaru|Soft and squishy bananas, huh... Soft and squishy... banana...
Itaru|Mayu-shi, say ’your banana’s all soft and squishy’ for me.
Mayuri|Daru-kun, your nose is bleeding.
Itaru|Please just say it!
Mayuri|Your banana’s all soft and--
Rintaro|Don’t make her say that, you perv!
Rintaro|They’re gelatinous, a semi-solid state of matter. In other words, there is a possibility that the intermolecular bonds were weakened.
Rintaro|I’ve got it!
Rintaro|What we thought was a freezing function is actually something else!
Rintaro|Now’s the time to shout, ’W-what you say!?’ Come on, don’t be shy!
Itaru|Uh, we already knew that.
Itaru|The problem is we don’t know what it is doing, or why it’s doing it.
Mayuri|If it’s the opposite of freezing, then couldn’t it be thawing them?
Rintaro|What a silly question, Mayuri. What you’re describing is just a normal microwave!
Mayuri|Then, what is it?
Itaru|We don’t know, and that’s the problem.
Rintaro|...
Female Reporter|Behind me is the large, unidentified object that crashed into a building near Akihabara Station!
Female Reporter|The building is under police barricade. No one is allowed to approach, but from a distance, the object appears to be some kind of satellite!
Rintaro|Daru, aren’t you going to check out Radi-Kan?
Itaru|No point. Can’t get close. I’ve been following the news online, though. There’s already a hundred threads about it on @channel. It’s huge, man.
Itaru|Man, feel that AC! I’m alive!
Rintaro|About the PhoneWave (name subject to change). I might have found our answer.
Itaru|You know, that ’(name subject to change)’ thing is really annoying.
Rintaro|Now’s not the time.
Itaru|So, what’s your latest ridiculous theory?
Rintaro|What do you mean, ridiculous? My genius brain considers every possibility, even those a lesser mind would say break the laws of nature. Don’t you dare call that ridiculous.
Itaru|So basically, you’re just pulling stuff outta your ass. You can’t call that science.
Rintaro|Daru. I have a hunch that the PhoneWave (name subject to change) may be the key to opening Steins Gate. How’s that?
Itaru|Steins what? You lost me back at ’ridiculous’, man.
???|Ah!
???|I’m sorry!
Rintaro|Wha...!?
Rintaro|You... you...!
Kurisu|Is there something wrong?
Kurisu|O-ow!
Rintaro|Y-you...
Rintaro|You should be dead! Why are you here!?
Rintaro|And you’re even...
Rintaro|Not a scratch...
Kurisu|Hey, that hurts! Let me go!
Kurisu|What’s wrong with you?
Rintaro|You’re okay? But that’s impossible! Someone stabbed you! I saw you lying in a pool of blood!
Itaru|That again?
Rintaro|What do you mean, ’again’?
Itaru|I mean, you sent me that email like a week ago, right?
Rintaro|I sent you an email?
Rintaro|Don’t be ridiculous! I saw her dead just three hours ago!
Kurisu|Hey! Could you not talk about me like that? I’m perfectly fine.
Itaru|You know, that message was kinda weird. It was dated a week after I got it, which means it came from the future.
Kurisu|It came from the future?
Rintaro|That sounds like something you’d read on the internet, Daru. It’s rare for you to talk about ridiculous theories.
Itaru|No, the date was definitely a week later. It came from, uh... the 28th. Wait. That’s today!
Rintaro|This is the email I sent you three hours ago.
Kurisu|Interesting...
Rintaro|Substance. She has substance. Of course she’s not a ghost. How silly of me.
Kurisu|...
Itaru|O-Okarin, I don’t think that’s a good idea...
Kurisu|...Hey.
Kurisu|Are you trying to get yourself arrested?
Rintaro|I just want to know the truth.
Kurisu|What truth, you perv!? You stupid!? Wanna die!?
Itaru|Louise-chan’s famous line for the win!
Rintaro|I know what I saw!
Kurisu|No way! Did you just see my underw...!?
Rintaro|No, you fool! Not that!
Kurisu|...
Kurisu|Wait. Doctor Nakabachi?
Itaru|What are you talking about, Okarin? Doctor Nakabachi’s presentation was canceled.
Rintaro|Canceled!?
Itaru|Yeah. Because of the satellite crash.
Kurisu|Excuse me, um...
Rintaro|My name... is Hououin Kyouma!
Itaru|Really, man? You’re hopeless...
Kurisu|Okay, Hououin-san. I’d like to hear your story in more detail.
Professor|Makise-san? It’s almost time.
Kurisu|Huh? Oh, right. Thank you.
Itaru|We should go too.
Rintaro|Go where?
Itaru|To hear the lecture, duh?
Kurisu|Um, I’d like to thank everyone for coming to hear me speak today.
Rintaro|She’s the one giving the lecture...
Kurisu|It’s my first time giving a lecture like this, so please forgive me if I’m a little nervous.
Kurisu|For today’s lecture, I’ve been asked to speak on the subject of time travel. It’s not really my area of expertise, but I’ll try my best.
Rintaro|Time travel? Oh-ho...
Kurisu|Let me start by saying that time travel is an absurd concept.
Rintaro|OBJECTION!
Kurisu|Hwa...!?
Rintaro|It’s presumptuous for you to claim that time travel is absurd!
Itaru|Okarin, you magnificent fool!
Kurisu|Um... okay. It’s fine, I guess. It’ll be easier to talk in a discussion format.
Kurisu|But before that, please listen to my thoughts on the subject.
Kurisu|Scientists have proposed many theoretical models of time travel, but there are eleven in particular that bear mentioning.
Kurisu|Neutron Star Theory. Black Hole Theory. Lightspeed Theory.
Kurisu|Tachyon Theory. Wormhole Theory. Exotic Matter Theory.
Kurisu|Cosmic String Theory. Quantum Gravity Theory. Cesium Laser Theory.
Kurisu|Elementary Particle Ring & Laser Theory. Dirac Antiparticle Theory.
Rintaro|...
Kurisu|However, all of these models are purely theoretical.
Kurisu|Some of them even contradict each other.
Rintaro|Well, what if someone comes up with a 12th model?
Kurisu|Hm? Ahh, uhh, right, well...
Kurisu|It could be contradicted by the 13th model, now couldn’t it?
Kurisu|By the way, time travel to the future is available to us right now, according to Einstein’s special theory of relativity.
Kurisu|For example, let’s say someone were to go to Haneda Airport and board a plane headed to Okinawa. Upon arrival, that person would be about one hundred millionth of a second farther into the future than I am.
Kurisu|According to the special theory of relativity, time moves slower for objects as they approach the speed of light.
Kurisu|For example, if you could run at near the speed of light, you could reach a point where time only moves half as fast for you.
Kurisu|If you were to keep running at that speed for 24 hours, 48 hours would elapse in the rest of the world, meaning you would ’jump’ one day into the future. Understand, Hououin Kyouma?
Rintaro|Gah!
Professor|But that’s not really time travel, is it?
Kurisu|Yes, you’re right.
Professor|Then what about going to the past?
Kurisu|Going to the past is possible right now. Take a look at the sky at night. You can see light from tens of thousands of years ago, can’t you?
Student|That’s not time travel either!
Kurisu|Well, I was just getting started.
Kurisu|Let’s say we wanted to make a machine that could physically transport people through time. What would we need?
Kurisu|The best candidates for this are cosmic strings and wormholes.
Kurisu|A cosmic string is a string-shaped ’crevice’ with extreme mass.
Kurisu|The crevice is about as wide as an elementary particle, and at least as long as the diameter of a galaxy.
Kurisu|It has immense mass, so it distorts space-time. If you were to travel through that distortion, you could make a full circle around the string in less than 360 degrees.
Kurisu|In short, you can do something resembling a warp. This is called a space-time angular deficit.
Kurisu|When you pass through an area of angular deficit, transit time becomes zero.
Kurisu|Now we apply this to a cosmic string moving at near-light speed.
Kurisu|According to the special theory of relativity, time will flow slower for the cosmic string in relation to its surroundings.
Kurisu|Therefore, passing through the area of angular deficit would cause the transit time to become negative instead of zero.
Kurisu|In other words, you will arrive in the past after transit.
Kurisu|If you use two cosmic strings, you can do a space deficit jump. If you loop back to your original location, you can return to the same time you started revolving.
Kurisu|And that, roughly speaking, is time travel by means of cosmic strings.
Kurisu|By the way, just so nobody misunderstands, cosmic strings are not the same as superstrings.
Kurisu|Now then, you need three things in order to travel to the past with cosmic strings.
Kurisu|First. The cosmic strings themselves. Two strings, to be exact. By the way, they are hypothesized to exist only where the universe was first formed, so they might be a little hard to find.
Kurisu|Second. You would need the energy required to make them move them at near-light speed.
Kurisu|How much energy do you think you’d need to accelerate something as long as the Milky Way to near the speed of light? I’m pretty sure it’s a little more than 1.21 jigowatts.
Kurisu|Third. You’d need a spaceship capable of reaching these cosmic strings and returning. With the time traveler alive, of course.
Kurisu|What do you think, Hououin-san? Care to take on the challenge of cosmic string time travel?
Kurisu|Hm? Looks like Hououin-san doesn’t want to take the challenge.
Kurisu|In that case, let’s consider wormholes. They may be a little more realistic than cosmic strings.
Kurisu|By the way, Hououin-san. Do you know what wormholes are?
Rintaro|It’s like a shortcut through space... right?
Kurisu|Yes, that’s correct.
Kurisu|There are two wormholes joined by a tunnel. No matter how far away the wormholes are, transit time through the tunnel is zero.
Kurisu|But oh no, there’s a problem. The wormhole tunnel suffers from super gravity, and collapses as soon as it opens.
Kurisu|So we need something to negate the effect of gravity.
Kurisu|So-called ’exotic matter’. A substance with negative mass which repulses other matter.
Kurisu|Say that the wormhole tunnel is being squished by an invisible fist.
Kurisu|In order to pass through, you need something that could oppose my fist’s ’grasping force’ so that I can’t squish anymore. 
Kurisu|If you stabilize the tunnel with exotic matter injection, instantaneous travel between wormholes becomes possible. To travel through time, however, takes a little more effort.
Kurisu|For example, let’s say there’s a wormhole entrance here in Akihabara, and the exit is in Los Angeles.
Kurisu|First, we send the wormhole in LA all the way to the end of the universe at near the speed of light. And once it’s there, we yank it back to LA.
Kurisu|According to the special theory of relativity, time slows down for objects moving at the speed of light. Meaning the hole that returned to LA would be further in the past than the Akihabara hole.
Kurisu|So now, if Hououin-san jumped into the wormhole, he’d arrive in LA several years before he left.
Kurisu|However, this still can’t be called true time travel. It only seems that way. This is called the Urashima effect.
Kurisu|The important part is to return to Akihabara from LA through the wormhole once more. Since the transit time is zero...
Kurisu|Hououin-san will return to Akihabara several years in the past. Time travel complete.
Kurisu|The prerequisites for wormhole travel are simpler than the ones for cosmic string travel.
Kurisu|First. The wormhole itself. They may exist somewhere in the universe. But nobody has ever seen one.
Kurisu|Second. The energy required to move a wormhole to the end of the universe and back at near-light speed.
Kurisu|Third. Exotic matter, which, by the way, has not been confirmed to exist.
Kurisu|Now do you see what I meant when I said that time travel is an absurd concept?
Kurisu|Time travel theories are all just thought experiments. Not one of them can create a viable time machine. That is my answer.
Student|Isn’t there anything simpler? Like something you can pull out of a drawer and just use, or something.
Kurisu|I’m afraid not.
Kurisu|This is the limit of modern physics. I can’t say how it might change in ten years, though.
Kurisu|Besides, even if someone did overcome the logistical requirements, there may be other factors that prevent time travel from working.
Kurisu|And that’s because fundamental problems concerning the principle of causality have not yet been solved.
Rintaro|You mean time paradoxes... and conservation of mass?
Kurisu|If you think that conservation of mass applies to macro-systems like the universe or micro-systems like atoms or elementary particles, you’re mistaken.
Kurisu|Heh.
Kurisu|Conservation of mass only applies to chemical reactions. It doesn’t hold in modern physics at all.
Kurisu|Something can come from nothing.
Professor|Then what is the problem?
Kurisu|The time paradox of time paradoxes. In other words, the Grandfather Paradox.
Kurisu|As long as this paradox goes unsolved, time travel can never be realized. Never.
Student|What if you just don’t kill them?
Kurisu|You can’t think of it like a sci-fi movie. It’s not just about your family tree. There are far greater dangers than that.
Kurisu|Any paradox, no matter how small, would cause the total collapse of causality, relativity, and every other physical law in existence.
Kurisu|Paradoxes are nothing more than thought experiments. They cannot occur in reality, and they should not.
Kurisu|Nothing that has even a 0.000001% chance of causing a paradox can happen. The universe won’t allow it. Wouldn’t you say this is the logical conclusion?
Kurisu|There may be loopholes, like parallel worlds or the self-consistency principle, but those seem too much like fantasy for me to accept.
Rintaro|Gah...
Mayuri|It’s Okarin! Tutturu♪
Luka|Good afternoon, Okabe-san.
Rintaro|Lukako. That blade I gave you, what happened to it?
Luka|Um, you mean... Demon Sword Samidare?
Rintaro|Correct. I bought it for you so you could learn to control your power.
Mayuri|Oh yeah! You bought it at BladeWorks, right? I think you said it cost 980--
Rintaro|Don’t say another word! Any more and they will come to silence you!
Mayuri|They’re gonna silence me? Thanks for worrying about me, Okarin. But who are they?
Rintaro|So, Lukako. Are you making sure to practice with Samidare like I told you?
Luka|Y-yes, I do practice swings once a day...
Rintaro|As long as you carry it and master the Seishin Zanma school of swordsmanship, you can prevent the dark flame inside you from consuming your soul.
Luka|Thank you, Okabe-san. It was a wonderful present.
Rintaro|My name isn’t Okabe.
Mayuri|It’s Okarin!
Luka|I’m sorry, Kyouma-san.
Rintaro|As long as you understand. Now, speak the words.
Luka|Ah, umm. El... Psy... Kongaloo...?
Rintaro|No! Not Kongaloo! Kongroo!
Luka|Y-yes!
Luka|El... Psy... Kongroo.
Luka|D-did I get it right?
Luka|Thank you.
Mayuri|Such a beautiful master-disciple relationship. Mayushii’s not a fujoshi, but she’s getting a little excited.
Luka|Ehh!? M-Mayuri-chan, please don’t imagine such things...
Rintaro|What are you doing here, Mayuri?
Mayuri|I came to see Luka-kun.
Mayuri|ComiMa’s coming up next month, and I want him to cosplay as Kirari-chan from RaiNet. But he won’t say yes...
Luka|But, cosplaying... that’s just too embarrassing for me...
Mayuri|But I’m sure you’ll look great in it!
Mayuri|The phrase ’someone this cute can’t be a girl’ is really popular, you know? C’mon, make your cosplay debut!
Rintaro|Save the trivial stuff for later.
Mayuri|Ehh? But it’s really important to Mayushii.
Rintaro|And it’s trivial to me!
Rintaro|Anyway, Lukako. There’s a good reason for my being here today. I need you to perform an exorcism.
Luka|An exorcism? Then I’ll go get my dad. Please wa--
Rintaro|No, it’s nothing that serious. I just need some peace of mind.
Rintaro|So with that said, bring out the usual.
Luka|Um, the usual? You mean Samidare?
Rintaro|No! Who the hell uses a demon sword for an exorcism!? The usual for an exorcism should be obvious!
Luka|Uhh... um...?
Rintaro|I don’t know what it’s called, but it’s that stick with the zigzaggy paper thingies that the priest does a shaky thingy with!
Mayuri|Ahaha! That sounded really dumb, Okarin!
Luka|Oh, the oonusa. But, I don’t know if my father will lend it to me...
Luka|I’ll go ask him.
Mayuri|Well, time for me to go to work!
Rintaro|Do your best. You going straight home afterwards?
Mayuri|Yup.
Mayuri|See you tomorrow!
